=== 盘点汇总 ===
盘点名称,??????
盘点人,???
盘点日期,2026-06-09
总条目数,5
匹配数量,1
冲突数量,4
状态,已完成
可撤销,否
创建时间,2026-06-09T12:55:03.020533
完成时间,2026-06-09T12:55:03.025775
备注,reviewer-owned input

=== 冲突明细 ===
冲突类型,序列号,仪器名称,系统值,盘点值,处理结论,处理人,处理时间,备注
位置不一致,SN-B,???B,??201,??202,忽略,普通用户,2026-06-09T12:55:03.023834,"盘点人: ???, 时间: 2026-06-09 14:01:00
??"
已借出却在库,SN-C,???C,已借出，不在库,实际在库，位置: ??301,忽略,普通用户,2026-06-09T12:55:03.023834,"盘点人: ???, 时间: 2026-06-09 14:02:00
??"
未知仪器,SN-X,未知仪器,系统中不存在,盘点位置: ??999,忽略,普通用户,2026-06-09T12:55:03.024845,"盘点人: ???, 时间: 2026-06-09 14:03:00
??"
重复序列号,SN-B,???B,唯一序列号,SN-B,忽略,普通用户,2026-06-09T12:55:03.025775,"盘点单中重复出现
??"
